sku,Vendor SKU,Vendor,Vendor Description,Category,Category Description,Description,StyleColor,SizeType
ADYLW00000-BLK,,DC,DC,575,M. WNDWEAR BOTTOM,OAK,BLK,20
ADYS100021-BLL,,DC,DC,158,MENS SKATE SHOES,SERIAL GRAFFIK,BLL,1
ADYS100029-BKW,,DC,DC,158,MENS SKATE SHOES,CRISIS,BKW,1
ADYS100029-BRU,,DC,DC,158,MENS SKATE SHOES,CRISIS,BRU,1
ADYS100032-BLR,,DC,DC,158,MENS SKATE SHOES,CRISIS HIGH,BLR,1
ADYS100115-XKBR,,DC,DC,158,MENS SKATE SHOES,SCEPTOR TP,XKBR,1
ADYS100165-BKN,,DC,DC,158,MENS SKATE SHOES,RD JAG,BKN0,1
ADYS100200-030,,DC,DC,158,MENS SKATE SHOES,VILLAIN TX SE,30,1
ADYS100200-BKO,,DC,DC,158,MENS SKATE SHOES,VILLAIN TX,BKO,1
ADYS100200-HE3,,DC,DC,158,MENS SKATE SHOES,VILLAIN TX SE,HE3,1
ADYS100202-BL0,,DC,DC,158,MENS SKATE SHOES,MIKEY T 2 S,BL0,1
ADYS100216-GRY,,DC,DC,158,MENS SKATE SHOES,VILLAIN REALTREE,GRY,1
ADYS100220-GRY,,DC,DC,158,MENS SKATE SHOES,SPARTAN HIGH WC,GRY,1
ADYS100231-BO0,,DC,DC,158,MENS SKATE SHOES,COLE SIGNATURE,BO0,1
ADYS100231-XKRW,,DC,DC,158,MENS SKATE SHOES,COLE SIGNATURE,KXRW,1
ADYS100257-BLO,,DC,DC,158,MENS SKATE SHOES,WAGE SE,BLO,1
ADYS100304-CCB,,DC,DC,158,MENS SKATE SHOES,MIKEY TAYLOR SE,CCB,1
ADYS100352-XKYY,,DC,DC,142,MENS CASUAL/LEISURE,ARGOSY,XKYY,1
ADYS100567-ARR,,DC,DC,158,MENS SKATE SHOES,VILLAIN 2,ARR,1
ADYS100567-BL0,,DC,DC,158,MENS SKATE SHOES,VILLAIN 2,BL0,1
ADYS100615-BWW,,DC,DC,158,MENS SKATE SHOES,LYNX ZERO,BWW,1
ADYS300133-YRR,,DC,DC,158,MENS SKATE SHOES,MIKEY TAYLOR VU,YRR,1
